INFO2023-03-31 15:17:26,830autoreloadWatching for file changes with StatReloader
DEBUG2023-03-31 15:17:26,839autoreloadWaiting for apps ready_event.
DEBUG2023-03-31 15:17:27,154autoreloadApps ready_event triggered. Sending autoreload_started signal.
DEBUG2023-03-31 15:17:27,274autoreloadWatching dir C:\Python311\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG2023-03-31 15:17:27,275autoreloadWatching dir C:\Users\LENOVA\Desktop\Final Loan Project\main_project_backend\loan_for_company_interior\locale with glob **/*.mo.
DEBUG2023-03-31 15:17:27,276autoreloadWatching dir C:\Python311\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG2023-03-31 15:17:27,278autoreloadWatching dir C:\Users\LENOVA\Desktop\Final Loan Project\main_project_backend\loan_for_company_interior\admin_app\locale with glob **/*.mo.
DEBUG2023-03-31 15:17:27,280autoreloadWatching dir C:\Users\LENOVA\Desktop\Final Loan Project\main_project_backend\loan_for_company_interior\application_generation\locale with glob **/*.mo.
DEBUG2023-03-31 15:17:27,284autoreloadWatching dir C:\Users\LENOVA\Desktop\Final Loan Project\main_project_backend\loan_for_company_interior\customer\locale with glob **/*.mo.
DEBUG2023-03-31 15:17:27,285autoreloadWatching dir C:\Users\LENOVA\Desktop\Final Loan Project\main_project_backend\loan_for_company_interior\disburstment\locale with glob **/*.mo.
DEBUG2023-03-31 15:17:27,287autoreloadWatching dir C:\Users\LENOVA\Desktop\Final Loan Project\main_project_backend\loan_for_company_interior\document_verification\locale with glob **/*.mo.
DEBUG2023-03-31 15:17:27,288autoreloadWatching dir C:\Users\LENOVA\Desktop\Final Loan Project\main_project_backend\loan_for_company_interior\loan_sanctioning\locale with glob **/*.mo.
DEBUG2023-03-31 15:17:27,479utils(0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG2023-03-31 15:17:27,487utils(0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
